	ggal_miRb21_bbmap_1	ggal_miRb21_bbmap_10	ggal_miRb21_bbmap_11	ggal_miRb21_bbmap_12	ggal_miRb21_bbmap_2	ggal_miRb21_bbmap_3	ggal_miRb21_bbmap_4	ggal_miRb21_bbmap_5	ggal_miRb21_bbmap_6	ggal_miRb21_bbmap_7	ggal_miRb21_bbmap_8	ggal_miRb21_bbmap_9
gga-miR-6592	0	0	0	0	0	0	0	1	0	0	0	0
gga-miR-204	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6653	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1655	10	3	4	23	5	1	15	11	6	2	8	9
gga-miR-449c	0	1	14	1	2	1	0	3	0	0	2	6
gga-miR-1574	0	0	7	5	7	2	4	1	0	1	2	1
gga-miR-1749	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6643	0	0	0	0	0	0	0	0	1	0	0	0
gga-miR-6613	2	0	0	1	0	1	0	0	1	3	0	0
gga-miR-1722	1	0	0	0	1	0	0	0	0	0	0	0
gga-miR-6602	0	0	0	2	0	0	1	0	0	0	0	0
gga-miR-1688	0	0	0	1	0	1	1	0	0	0	0	0
gga-miR-7461	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-15c	0	0	0	0	1	0	1	0	0	0	0	0
gga-miR-7483	0	0	0	0	0	0	0	0	0	0	1	0
gga-miR-1689	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7443	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6684	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1733	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1814	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-148a	19208	4439	9039	16689	18105	11860	18935	17338	13630	3463	12960	8499
gga-miR-365	20	5	15	10	19	40	9	4	7	1	1	11
gga-miR-1698	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7446	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1664	13	3	12	30	3	5	13	4	5	4	5	12
gga-miR-1720	685	204	759	480	737	1413	446	445	144	123	422	790
gga-miR-1627	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6563	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6562	0	0	0	0	0	0	0	0	0	0	0	0
