gene_id,UP_90_10_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_11_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_12_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_1_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_2_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_3_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_4_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_5_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_6_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_7_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_8_IonXpressRNA.Aligned.sortedByCoord.out,UP_90_9_IonXpressRNA.Aligned.sortedByCoord.out
ENSGALG00000006197,1512,2249,904,1898,649,3823,1572,1147,2327,1007,1463,1740
ENSGALG00000054879,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054878,9,3,1,147,0,0,1,0,0,4,2,1
ENSGALG00000040511,350,184,127,381,171,843,422,287,317,120,255,414
ENSGALG00000028735,308,344,28,1262,39,366,274,68,291,171,45,238
ENSGALG00000054873,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000054872,2,2,0,1,0,1,0,0,0,1,1,0
ENSGALG00000054871,1,1,0,1,1,1,1,1,1,1,1,1
ENSGALG00000054870,116,169,98,0,0,295,0,100,0,0,0,151
ENSGALG00000040519,1115,2675,1301,1234,679,2519,965,906,2001,1491,1293,1549
ENSGALG00000054876,0,1,1,1,0,0,0,0,1,0,0,0
ENSGALG00000054875,0,0,0,1,0,0,0,1,0,1,0,0
ENSGALG00000054874,78,52,37,10,22,593,17,1,26,321,8,22
ENSGALG00000015311,288,353,215,700,254,687,309,125,731,258,480,344
ENSGALG00000015313,149,319,112,336,133,537,265,113,186,160,175,235
ENSGALG00000054210,35,68,19,61,17,81,40,20,32,22,50,27
ENSGALG00000015315,72,225,89,193,69,461,135,91,132,90,107,46
ENSGALG00000015314,362,686,146,493,222,1553,306,5,585,159,307,310
ENSGALG00000015316,246,401,236,389,148,733,229,306,313,163,277,279
ENSGALG00000006192,166,198,59,314,113,454,131,179,132,61,235,223
ENSGALG00000046829,1,1,0,1,0,1,1,1,1,3,3,1
ENSGALG00000046828,444,916,316,259,221,672,266,326,501,376,365,503
ENSGALG00000046827,3,1,0,3,1,4,0,0,1,3,2,1
ENSGALG00000046826,273,407,139,259,236,535,251,157,731,401,250,226
ENSGALG00000046825,110,235,121,106,73,72,104,27,254,186,126,144
ENSGALG00000054214,0,0,0,0,0,0,0,0,2,0,0,0
ENSGALG00000046823,76,239,73,75,46,329,38,72,188,63,56,97
ENSGALG00000046822,1,3,2,4,2,6,5,1,1,5,4,2
ENSGALG00000046821,1,1,0,1,0,0,1,0,1,1,1,1
ENSGALG00000046820,6,16,0,10,0,16,0,0,21,0,0,0
ENSGALG00000046979,2,4,8,5,0,1,1,1,5,1,1,2
ENSGALG00000051346,1,0,1,1,1,1,0,0,1,1,1,0
ENSGALG00000051347,111,146,94,132,96,236,133,78,232,219,177,160
ENSGALG00000051344,2,13,0,7,1,0,5,0,10,12,5,12
ENSGALG00000051345,1,0,0,2,0,1,0,0,4,2,10,0
ENSGALG00000051342,110,114,23,119,24,686,67,36,272,220,47,37
ENSGALG00000051343,0,1,0,20,5,17,8,1,17,1,8,4
ENSGALG00000051340,38,96,37,179,35,216,94,97,104,33,59,53
ENSGALG00000051341,0,0,0,0,0,0,0,0,0,0,0,0
ENSGALG00000051348,1,0,0,5,0,4,3,0,11,0,1,0
ENSGALG00000051349,23,67,9,16,20,7,9,6,81,43,12,16
ENSGALG00000010363,833,1033,466,1149,436,2479,859,603,1378,773,904,812
ENSGALG00000010360,261,491,303,249,218,702,198,360,537,259,293,352
ENSGALG00000010364,259,232,183,281,192,416,166,80,663,231,206,282
ENSGALG00000051962,5,14,3,11,2,11,4,14,26,13,10,5
ENSGALG00000010094,2451,3054,1249,1753,1584,3487,1608,1563,4309,2033,1822,2291
ENSGALG00000051960,10,8,8,14,4,34,19,12,16,9,8,4
ENSGALG00000051961,0,0,4,0,0,1,0,0,0,0,0,0
ENSGALG00000010091,1145,2167,1145,1567,946,2785,1674,1762,2290,947,1517,1977
ENSGALG00000051967,25,26,14,32,7,160,35,1,60,22,16,26
ENSGALG00000010093,280,408,154,431,181,920,382,164,439,241,323,303
ENSGALG00000051965,0,1,0,1,1,0,0,0,0,0,1,0
ENSGALG00000051968,0,0,0,9,0,0,4,0,0,0,1,0
ENSGALG00000051969,1,1,1,1,1,1,0,0,1,1,1,1
ENSGALG00000010098,1029,543,192,266,551,1359,793,603,1727,463,249,1041
ENSGALG00000031812,163,227,81,165,94,354,158,103,121,95,149,158
ENSGALG00000031813,1565,3206,1352,1526,1179,4016,1727,1147,3154,1854,1242,1615
